Mes 11 5	BUCKLEY	05/11/2020 00:00:03	05/11/2020 09:09:24	9H 9M		Off	Ca.S/N Ub Zona Industrial, Pari_as Talara Piura, Perù	PUERTO TALARA		-4.5719099	-81.2754899	0	1,51
Mes 11 5	BUCKLEY	05/11/2020 09:12:48	05/11/2020 09:12:51	0M		On	Pari_as Talara Piura, Perù	Rio Amazonas		-4.5693450	-81.2865599	2,22	2,23
Mes 11 5	BUCKLEY	05/11/2020 09:13:12	05/11/2020 09:13:15	0M		On	Pari_as Talara Piura, Perù	Rio Amazonas		-4.5695549	-81.2872500	2,3	2,31
Mes 11 5	BUCKLEY	05/11/2020 09:13:36	05/11/2020 09:40:00	26M		On	Pari_as Talara Piura, Perù	Rio Amazonas		-4.5697950	-81.2879250	2,38	2,8
Mes 11 5	BUCKLEY	05/11/2020 09:40:27	05/11/2020 09:40:30	0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA		-4.5662095	-81.2882175	2,89	2,9
Mes 11 5	BUCKLEY	05/11/2020 10:41:57	05/11/2020 10:49:03	7M		On	Lobitos Piura, PER	Flotante LO		-4.4359487	-81.3191807	18,3	18,45
Mes 11 5	BUCKLEY	05/11/2020 11:42:36	05/11/2020 11:42:45	0M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3244128	-81.2905087	31,86	31,9
Mes 11 5	BUCKLEY	05/11/2020 11:42:54	05/11/2020 11:49:30	7M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3239900	-81.2901299	31,92	32,09
Mes 11 5	BUCKLEY	05/11/2020 11:51:12	05/11/2020 11:51:21	0M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3243200	-81.2890050	32,54	32,57
Mes 11 5	BUCKLEY	05/11/2020 11:51:27	05/11/2020 14:35:30	2H 44M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3241249	-81.2893349	32,59	34,61
Mes 11 5	BUCKLEY	05/11/2020 14:36:03	05/11/2020 14:36:06	0M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3244699	-81.2893049	34,73	34,74
Mes 11 5	BUCKLEY	05/11/2020 14:36:12	05/11/2020 14:36:15	0M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3241791	-81.2893183	34,76	34,77
Mes 11 5	BUCKLEY	05/11/2020 14:36:21	05/11/2020 14:43:15	7M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3239472	-81.2893567	34,79	35,16
