Mes 11 15	BUCKLEY	15/11/2020 00:00:18	15/11/2020 23:59:59	1D 0M		Off	Ca.S/N Ub Zona Industrial, Pari_as Talara Piura, Perù	PUERTO TALARA		-4.5719249	-81.2754899	0	1,81
Mes 11 15	CHIMERA	15/11/2020 00:00:00	15/11/2020 16:41:31	16H 42M		Off	Pari_as Talara Piura, Perù	Rio Amazonas		-4.5685665	-81.2901331	0	0,2
Mes 11 15	CHIMERA	15/11/2020 17:41:32	15/11/2020 18:41:37	1H 0M		On	Pari_as Talara Piura, Perù	Rio Amazonas		-4.5688499	-81.2899498	0,21	0,23
Mes 11 15	CHIMERA	15/11/2020 20:41:37	15/11/2020 23:41:47	3H 0M		On	Pari_as Talara Piura, Perù	Rio Amazonas		-4.5687166	-81.2900331	0,24	0,27
Mes 11 15	CHIMERA	15/11/2020 23:41:47	15/11/2020 23:59:59	18M		Off	Pari_as Talara Piura, Perù	Rio Amazonas		-4.5687166	-81.2901164	0,27	0,27
Mes 11 15	CHIP II	15/11/2020 00:00:00	15/11/2020 09:59:57	10H 0M		Off	PI-100, Lobitos Piura, PER	Flotante PN		-4.3238671	-81.2896640	0	0,45
Mes 11 15	CHIP II	15/11/2020 10:00:15	15/11/2020 10:01:57	2M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3214699	-81.2879099	0,51	0,81
Mes 11 15	CHIP II	15/11/2020 10:02:36	15/11/2020 10:02:57	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3185599	-81.2855249	0,93	1
Mes 11 15	CHIP II	15/11/2020 10:03:06	15/11/2020 10:03:27	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3177775	-81.2852096	1,03	1,09
Mes 11 15	CHIP II	15/11/2020 10:03:45	15/11/2020 10:04:06	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3169099	-81.2845799	1,16	1,22
Mes 11 15	CHIP II	15/11/2020 10:04:15	15/11/2020 10:05:06	1M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3165743	-81.2838015	1,25	1,41
Mes 11 15	CHIP II	15/11/2020 10:05:15	15/11/2020 10:05:36	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3154849	-81.2824799	1,44	1,51
Mes 11 15	CHIP II	15/11/2020 10:05:45	15/11/2020 10:05:57	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3146749	-81.2820299	1,54	1,57
Mes 11 15	CHIP II	15/11/2020 10:06:06	15/11/2020 10:06:24	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3142249	-81.2817149	1,61	1,69
Mes 11 15	CHIP II	15/11/2020 10:06:36	15/11/2020 10:06:45	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3135712	-81.2811008	1,7	1,74
Mes 11 15	CHIP II	15/11/2020 10:07:06	15/11/2020 10:07:15	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3128599	-81.2805149	1,81	1,84
Mes 11 15	CHIP II	15/11/2020 10:07:27	15/11/2020 10:07:30	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3123499	-81.2801699	1,87	1,91
Mes 11 15	CHIP II	15/11/2020 10:07:45	15/11/2020 10:08:06	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3118976	-81.2798847	1,94	2,01
Mes 11 15	CHIP II	15/11/2020 10:08:33	15/11/2020 10:08:36	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3107312	-81.2790016	2,11	2,13
Mes 11 15	CHIP II	15/11/2020 10:09:15	15/11/2020 10:30:06	21M		On	El Alto Piura, PER	DD		-4.3097099	-81.2781149	2,24	3,03
Mes 11 15	CHIP II	15/11/2020 10:30:15	15/11/2020 10:30:24	0M		On	PI-100, Lobitos Piura, PER	PN11		-4.3125149	-81.2742899	3,06	3,1
Mes 11 15	CHIP II	15/11/2020 10:31:06	15/11/2020 10:31:45	1M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3136250	-81.2732099	3,23	3,36
Mes 11 15	CHIP II	15/11/2020 10:32:45	15/11/2020 10:32:54	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3163549	-81.2721899	3,56	3,59
Mes 11 15	CHIP II	15/11/2020 10:34:15	15/11/2020 10:54:27	20M		On	PI-100, Lobitos Piura, PER	PN4		-4.3189799	-81.2717549	3,87	4,21
Mes 11 15	CHIP II	15/11/2020 11:00:45	15/11/2020 11:07:42	7M		On		PN14		-4.3064999	-81.2672699	5,59	5,76
Mes 11 15	CHIP II	15/11/2020 11:09:33	15/11/2020 11:23:06	14M		On	El Alto Piura, PER	NN		-4.3030049	-81.2695499	6,13	6,65
Mes 11 15	CHIP II	15/11/2020 11:23:36	15/11/2020 11:23:48	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3012350	-81.2722349	6,75	6,78
Mes 11 15	CHIP II	15/11/2020 11:23:57	15/11/2020 11:24:18	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3010700	-81.2728049	6,81	6,87
Mes 11 15	CHIP II	15/11/2020 11:24:36	15/11/2020 11:24:57	0M		On		CAMPO PEA NEGRA		-4.3010999	-81.2738849	6,94	7
Mes 11 15	CHIP II	15/11/2020 11:25:06	15/11/2020 11:25:18	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3011599	-81.2747249	7,03	7,06
Mes 11 15	CHIP II	15/11/2020 11:25:36	15/11/2020 11:26:27	1M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3009050	-81.2755949	7,13	7,29
Mes 11 15	CHIP II	15/11/2020 11:26:36	15/11/2020 11:49:36	23M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3008303	-81.2773375	7,32	9,29
Mes 11 15	CHIP II	15/11/2020 11:49:45	15/11/2020 11:50:45	1M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2898350	-81.2738999	9,32	9,51
Mes 11 15	CHIP II	15/11/2020 11:55:27	15/11/2020 11:55:36	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2994880	-81.2783232	10,5	10,53
Mes 11 15	CHIP II	15/11/2020 11:57:36	15/11/2020 11:57:45	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3033049	-81.2800349	10,96	11
Mes 11 15	CHIP II	15/11/2020 11:58:27	15/11/2020 11:58:36	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3046850	-81.2806649	11,14	11,17
Mes 11 15	CHIP II	15/11/2020 12:00:36	15/11/2020 12:00:45	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3084199	-81.2823449	11,58	11,62
Mes 11 15	CHIP II	15/11/2020 12:01:06	15/11/2020 12:01:15	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3090649	-81.2829449	11,69	11,72
Mes 11 15	CHIP II	15/11/2020 12:01:57	15/11/2020 12:02:06	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3103249	-81.2835299	11,85	11,88
Mes 11 15	CHIP II	15/11/2020 12:02:36	15/11/2020 12:02:57	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3114499	-81.2840549	11,98	12,04
Mes 11 15	CHIP II	15/11/2020 12:03:06	15/11/2020 12:03:15	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3121700	-81.2845499	12,08	12,11
Mes 11 15	CHIP II	15/11/2020 12:03:36	15/11/2020 12:04:15	1M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3129295	-81.2850303	12,17	12,3
Mes 11 15	CHIP II	15/11/2020 12:04:36	15/11/2020 12:04:45	0M		On		CAMPO PEA NEGRA		-4.3143300	-81.2858999	12,36	12,4
Mes 11 15	CHIP II	15/11/2020 12:09:06	15/11/2020 12:20:54	12M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3228199	-81.2897699	13,41	14
Mes 11 15	CHIP II	15/11/2020 12:21:03	15/11/2020 12:21:24	0M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3240949	-81.2865749	14,03	14,1
